nr	source	title	year	type	author	journal	file	Rigor: Context described	Rigor: Study design described	Rigor: Validity discussed	Level of rigor	Relevance: Subjects	Relevance: Context	Relevance Scale	Relevance: research method	Level of industrial relevance	test model	fault model	tools	Accessibility of tools	implementation techniques	cost metrics	effectiveness metrics	other metrics	threats to validity	Number of threats	Threats	scalability	Theme	comparison of techniques	location for test evaluation (server side, client side, both sides, unspecified)	Evaluation of static vs dynamic	Ajax or synchronous	dataset	accessibility of dataset	keywords	Links	Question	citationKey	Industrial application
11	WebOfScience	An automated model-based approach to repair test suites of evolving web applications	2021	Article	Imtiaz, Javaria; Iqbal, Muhammad Zohaib; Khan, Muhammad Uzair	JOURNAL OF SYSTEMS AND SOFTWARE	Imtiaz21	1	1	1	3	0	1	1	0	3	Model based testing	broken locators				_	number of repaired tests, DOM coverage, test repair quality, number of faults detected, percentage of test scripts repaired		Internal, External	2	implementation of method, choice of test applications	not discussed	Model based	with WATER	Both server and client, DOM	both	both	AddressBook,Claroline,Meeting Room Booking System, Mantisbt,Collabtive,PHP Password Manager	1	Web testing, Automated test scripts, Regression testing, Model-based, Web test repair		Existing tests don’t longer match the SUT	imtiazAutomatedModelbasedApproach2021a	0
12	WebOfScience	Sidereal: Statistical adaptive generation of robust locators for web testing	2021	Article	Leotta, Maurizio; Ricca, Filippo; Tonella, Paolo	SOFTWARE TESTING VERIFICATION & RELIABILITY	Leotta21	1	1	1	3	0	0	0	0	2	Model based testing	broken locators	Sidereal	_		time efficiancy	percentage of broken locators	none	Internal, External	3	choice of test applications, selection of target elements, choice of comparison techniques, exclusion of prorietary techniques	not discussed	Regression	Robula +	client side, DOM	both	both	Php Address Book, PHP Password Manager, Jtrac, Phormer,MyMovieLibrary,TinyMCE	1	DOM-based testing; robust locator; test automation; automated testing; Web testing; Xpath locator; Web locators; XPath	To Leotta16	Existing tests don’t longer match the SUT	leottaSiderealStatisticalAdaptive2021	0
13	WebOfScience	Exploring output-based coverage for testing PHP web applications	2019	Article	Hung Viet Nguyen; Hung Dang Phan; Kastner, Christian; Nguyen, Tien N.	AUTOMATED SOFTWARE ENGINEERING	Ngyen19	1	1	1	3	0	0	1	0	2	Exploration Testing	general	WebTest	_	calculation of output coverage metric	_	output coverage, code coverage	none	Internal, External	2	choice of test applications, limitation to PHP applications,	not discussed	Support. Exploration testing	no	Both server and client, DOM	both	both	AddressBook,SchoolMate,TimeClock,UPB,WebChess,OsCommerce,WordPress	1	_		How to test efficiency of tests	nguyenExploringOutputbasedCoverage2019	0
14	WebOfScience	QExplore: An exploration strategy for dynamic web applications using guided search	2023	Article	Sherin, Salman; Muqeet, Asmar; Khan, Muhammad Uzair; Iqbal, Muhammad Zohaib	JOURNAL OF SYSTEMS AND SOFTWARE	Sherin23	1	1	1	3	0	0	1	0	2	Exploration Testing	Navigation/Functionality	Qexplore	https://github.com/salmansherin/QExplore	Q-learning	time efficiancy	Code coverage, DOM diversity, Navigational coverage, Navigational diversity, Error states, Number of distinct DOM states,		Internal, External	6	Code instrumentation, Evaluation metrics, reliability of results, Experimenter bias, Generalizability, Replication of results	mentioned	Model based	WebExplr, Cralwjax	client side, DOM	both	both	SchoolMate, TimeClock,AddressBook,Collabtive,Claroline,Brotherhood,Flex	1	Dynamic exploration, Web application testing, Model generation, Guided search, Coverage, Automated testing, Q-learning , Reinforcement learning		Generating Test Models	sherinQExploreExplorationStrategy2023a	0
15	WebOfScience	Effective automated repair of internationalization presentation failures in web applications using style similarity clustering and search-based techniques	2021	Article	Mahajan, Sonal; Alameer, Abdulmajeed; McMinn, Phil; Halfond, William G. J.	SOFTWARE TESTING VERIFICATION & RELIABILITY	Mahajan21	1	1	1	3	0	0	1	0	2	Exploration Testing	i18n Error	Ifix++			time efficiancy	reduction of I18n errors	none	Internal, External	3	choice of test applications, choice of detection method for errors, manual categorization of errors	not discussed	Other	with older version of iFix	client side	both	both	46 web pages	1	automated repair; internationalization; layout issues; presentation failures; search-based; software engineering; web applications		How to repair I18n errors	mahajanEffectiveAutomatedRepair2021	1
16	WebOfScience	Comparing coverage criteria for dynamic web application: An empirical evaluation	2021	Article	Sherin, Salman; Iqbal, Muhammad Zohaib; Khan, Muhammad Uzair; Jilani, Atif Aftab	COMPUTER STANDARDS & INTERFACES	Sherin21	1	1	1	3	0	0	1	0	2	General web testing	Navigation/Functionality				_	Html coverage, DOM coverage, V-DOM coverage, statement coverage	none	Internal, External	4	test case selection, random selection of mutations, choice of test applications, possibility of missed test cases,  	not discussed	Support	yes	Both server and client, DOM	both	both	SchoolMate,Brotherhood,Timeclock, Claroline,Phormer,WolfCMS,AddressBook	1			Which coverage criteria should I use?	sherinComparingCoverageCriteria2021	0
17	WebOfScience	Model-based test case prioritization using selective and even-spread count-based methods with scrutinized ordering criterion	2020	Article	Mohd-Shafie, Muhammad Luqman; Wan-Kadir, Wan Mohd Nasir; Khatibsyarbini, Muhammad; Isa, Mohd Adham	PLOS ONE	Mohd-Shafie20	1	1	1	3	0	0	0	0	2	Model based testing	_				_	Average Percentage of Fault Detection (APFD)	none	Internal, External	4	sample size, implementation, choice of metrics, choice of test applications	not discussed	Regression, Test Case Priorisation	no	client side, DOM	both	both	Online Jewellery Shop, Car rental system, Blood bank management system	0			Running Tests is slow, which are important?	mohd-shafieModelbasedTestCase2020	0
18	WebOfScience	Automatic fault localization for client-side JavaScript	2016	Article	Ocariza, Frolin S., Jr.; Li, Guanpeng; Pattabiraman, Karthik; Mesbah, Ali	SOFTWARE TESTING VERIFICATION & RELIABILITY	Ocariza16	1	1	1	3	0	0	0	0	2	Model based testing	javascript errors	AutoFlox	https://people.ece.ubc.ca/~frolino/projects/autoflox/		_	Percentage identified	# direct DOM access	Internal, External	3	choice of test applications, number of test subjects, implementation of fault injection, 	not discussed	JavaSipt Errorscr	no	client side, DOM	both	both	TASKFREAK,TUDU,WORDPRESS,CHATJAVASCRIPT,JSSCRAMBLE,JS TODO	1	JavaScript; fault localization; dynamic slicing; Document Object Model (DOM)		How to detecting errors in Javascript	ocarizaAutomaticFaultLocalization2016a	0
19	ACM	Towards Behavior-Driven Graphical User Interface Testing	2019	Article	Bünder, Hendrik; Herbert Kuchen, Herber	APPLIED COMPUTING REVIEW 	Buender19	1	1	1	3	0	0	0	0	1	BBD Gui Testing	Navigation/Functionality	Slang			time efficiancy	time efficiancy, comfort in writing tests		Internal	1	test execution	not discussed	Support	with Jbehave	client side, DOM	both	both	-	0	Domain-specific language, Model-Driven Engineering, GUI Test Case Generation, Behavior-Driven Development, Case Study		How to write tests faster	bunderBehaviordrivenGraphicalUser2019	0
20	WebOfScience	An efficient regression testing approach for PHP web applications: a controlled experiment	2014	Article	Do, Hyunsook; Hossain, Md.	SOFTWARE TESTING VERIFICATION & RELIABILITY	Do14	1	0.5	1	2.5	0	0	0	0	2	Model based testing	Navigation/Functionality	PARTE	_		number of generated paths	test path reduction	number of inputs for tests	Internal, External	2	implementation, choice of test applications, 	not discussed	Test Generation	no	server side, PHP	both	both	osCommerce, FAQForge, phpScheduleIt, Mambo, Mantisbt	1	Regression testing; impact analysis; test case generation; PHP web applications; empirical studies		How to generate test cases automatically for new code	doEfficientRegressionTesting2014	0
21	WebOfScience	A dataset of regressions in web applications detected by end-to-end tests	2022	Article	Soto-Sanchez, Oscar; Maes-Bermejo, Michel; Gallego, Micael; Gortazar, Francisco	SOFTWARE QUALITY JOURNAL	SotoSanchez22	1	1	1	3	0	0	0	0	2	_	_		https://github.com/e2e-tests-dataset/e2e-tests-dataset		test time	test size		Internal, External	2	choice of test applications, size of applications and number of bugs	mentioned	Support	no	Both server and client, DOM	both	both	3 Test data sets	1	Dataset, Testing, End-to-end tests		Can we have a testing data set?	soto-sanchezDatasetRegressionsWeb2022	0
22	WebOfScience	Test scenario prioritization from user requirements for web-based software	2021	Article	Panda, Namita; Mohapatra, Durga Prasad	INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT	Panda21	1	0.5	1	2.5	0	0	0	0	1	General web testing	_	APFD			_	_		Internal, External	3	functional occurence and dependencies, scaling of solution,	not discussed	Regression, Test Case Priorisation	no	Both server and client, DOM	both	both	Online Shopping Cart, E-Banking System, Online Ticket Vending machine, E-Hospital, Crime Management, Online Project Manager, DICOM	1	Keywords Regression testing, Requirement volatility, User requirements, Test case prioritization, APFD metric		Which tests to run first?	pandaTestScenarioPrioritization2021a	0
23	IEEE	Guided Mutation Testing for JavaScript Web Applications	2015	Article	Mirshokraie, Shabnam ; Mesbah, Ali; Pattabiraman, Karthik 	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING	Mirshokraie15	1	1	1	3	0	0	0	0	2	Mutation Testing	javascript errors	Mutandis	https://github.com/saltlab/mutandis/		_	Fault Severity, number of mutants	none	Internal, External	3	choice of test applications, no comparison with other techniques, low number of mutants, 	not discussed	Mutation Testing	no	Both server and client, DOM	both	both	SameGame, Tunnel, GhostBusters, Symbol, TuduList, SimpleCart,Jquery,WymEditor	1	Mutation testing, JavaScript, equivalent mutants, guided mutation generation, web applications		How to test efficiency of tests	mirshokraieGuidedMutationTesting2015	0
24	Springer Link	Mutta: a novel tool for E2E web mutation testing	2023	Article	Leotta, Maurizio ; Paparella, Davide ; Ricca, Filippo 	SOFTWARE QUALITY JOURNAL	Leotta23	1	1	1	3	1	0	1	0	2	Mutation Testing	Navigation/Functionality	Mutta			execution time	number of mutants, coverage by tests		Internal, External	5	choice of test applications, choice of tools used, number of developers writing tests, only Java, relationship between theory and observation, statistical errors	not discussed	Mutation Testing		Both server and client, DOM	both	both	PetClinic,Shopizer	1	Keywords Mutation testing, End-to-end web testing, Web application, Selenium WebDriver, Recheck, Assertions		How to test efficiency of tests	leottaMuttaNovelTool2023	0
25	WebOfScience	Event-driven web application testing based on model-based mutation testing	2015	Article	Habibi, Elahe; Mirian-Hosseinabadi, Seyed-Hassan	INFORMATION AND SOFTWARE TECHNOLOGY	Habibi15	1	1	1	3	0	0	0	0	2	Mutation Testing, Model based testing	Navigation/Functionality				_	Fault detection density, fault detection effectiveness, mutation score		Internal, External	4	Lack of analysis documents, testing process	not discussed	Mutation Testing	no	Both server and client, DOM	both	both	Email system	1	Event-driven software, Web application, Event, Test case generation, Functional graph, Mutation analysis		How to test efficiency of tests	habibiEventdrivenWebApplication2015a	0
26	WebOfScience	APOGEN: automatic page object generator for web testing	2017	Article	Stocco, Andrea; Leotta, Maurizio; Ricca, Filippo; Tonella, Paolo	SOFTWARE QUALITY JOURNAL	Stocco17	1	1	0	2	0	0	0	0	2	Model based testing	Navigation/Functionality	Apogen	https://github.com/tsigalko18/apogen		_	number of generated tests		_	0	_	not discussed	Test Generation		Both server and client, DOM	both	both	PetClinic,	1	Web testing, End-to-end testing, Page object pattern, Reverse engineering, Selenium WebDriver, Clustering		How to generate test cases	stoccoAPOGENAutomaticPage2017	0
27	WebOfScience	Generating and selecting resilient and maintainable locators for Web automated testing	2021	Article	Nguyen, Vu; To, Thanh; Diep, Gia-Han	SOFTWARE TESTING VERIFICATION & RELIABILITY	Ngyen21	1	1	1	3	0	0	0	0	2	Model based testing	broken locators				_	TP, FP, TN, FN of corrected elements	_	Internal	2	choice of test application and versions	not discussed	Regression	Robula+, Selenium IDE	Both server and client, DOM	both	both	15 different websites	0	automated testing, web locators, web UI test automation, XPath	Leotta16	Existing tests don’t longer match the SUT	nguyenGeneratingSelectingResilient2021	0
28	WebOfScience	Test-Driven Feature Extraction of Web Components	2022	Article	Long, Yong-Hao; Chen, Yan-Cheng; Chen, Xiang-Ping; Shi, Xiao-Hong; Zhou, Fan	JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY	Long22	1	1	0	2	0	0	0	0	2	DOM	javascript feature extraction				time efficiancy	number of extracted features		Internal	2	possibility for flaky tests and inefficiencies	not discussed	Model based	no	client side, DOM	both	both	10 different web components	1	feature extraction, genetic algorithm, graphical user interface, software reuse		How to generate test cases	longTestDrivenFeatureExtraction2022	0
29	WebOfScience	Automated Testing of Web Applications Using Combinatorial Strategies	2017	Article	Qi, Xiao-Fang; Wang, Zi-Yuan; Mao, Jun-Qiang; Wang, Peng	JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY	Qi17	1	1	0	2	0	0	0	0	2	Exploration Testing	Navigation/Functionality	ComJaxTest			execution time	code coverage, completeness	_	_	0	_	not discussed	Model based	CrawlJax, VerWeb	Both server and client, DOM	both	both	Eshop,AddressBook,Forum,SchoolMate,Nucleus	1	automated testing, combinatorial testing, web application		How to generate test cases	qiAutomatedTestingWeb2017	0
30	WebOfScience	Black-box model-based regression testing of fail-safe behavior in web applications	2019	Article	Andrews, Anneliese; Alhaddad, Ahmed; Boukhris, Salah	JOURNAL OF SYSTEMS AND SOFTWARE	Andrews19	1	1	1	3	0	0	1	0	2	Model based testing	Navigation/Functionality				_	code coverage		Internal, External	3	choice of test applications, construct validity (choice of parameters), choice of testing subjects	mentioned	Model based, Black box testing		Both server and client, DOM	both	both	Mortgage system	0	Regression testing, External failure, Web application, Black-Box testing, Model-Based testing	Boukhris17	How to generate test cases	andrewsBlackboxModelbasedRegression2019a	0
31	WebOfScience	A case study of black box fail-safe testing in web applications	2017	Article	Boukhris, Salah; Andrews, Anneliese; Alhaddad, Ahmed; Dewri, Rinku	JOURNAL OF SYSTEMS AND SOFTWARE	Boukhris17	1	1	1	3	0	0	1	0	2	Model based testing	Navigation/Functionality				number of runs	number of defects		Internal, External	3	choice of parameters, bias in setup, choice of test applications	discussed	Model based, Black box testing	FSMWeb	Both server and client, DOM	both	both	Mortgage system	0	Web testing, Failure mitigation patterns, Genetic algorithm		How to generate test cases	boukhrisCaseStudyBlack2017a	0
32	WebOfScience	CHIEv: Concurrent Hybrid Analysis for Crawling and Modeling of Web Applications	2021	Article	Leithner, Manuel; Simos, Dimitris E.	APPLIED COMPUTING REVIEW	Leithner21	1	1	0	2	0	0	1	0	2	Exploration Testing	Navigation/Functionality	CHIEv			_	identified endpoints, handled pages		_	0	_	not discussed	Model based	Xiev	Both server and client, DOM	both	both	Worpress,Joomla,MODx,MediaWiki,phpBB,MyBB	1	web crawling, dynamic analysis, hybrid analysis, modeling, web applications		How well do crawlers work in dynamic web applications	leithnerCHIEvConcurrentHybrid2021	0
33	WebOfScience	Genetic-based web regression testing: an ontology-based multi-objective evolutionary framework to auto-regression testing of web applications	2021	Article	Nooraei Abadeh, Maryam	SERVICE ORIENTED COMPUTING AND APPLICATIONS	Abadeh21	1	1	1	3	0	0	0	0	2	Model based testing	Navigation/Functionality	GbWRT			_	fitness functions found		Internal	3	choice of parameters and methods, choice of test applications, 	not discussed	Model based	NSGA, GA-ANFIS, GA-order	Both server and client, DOM	both	both	Online Voting System, Personam Investment Management	0	Genetic algorithm, Web-based application, Ontology, Automatic regression testing, Coverage criteria		How to crawl more efiicient	nooraeiabadehGeneticbasedWebRegression2021	0
34	WebOfScience	PESTO: Automated migration of DOM-based Web tests towards the visual approach	2018	Article	Leotta, Maurizio; Stocco, Andrea; Ricca, Filippo; Tonella, Paolo	SOFTWARE TESTING VERIFICATION & RELIABILITY	Leotta18	1	1	0.5	2.5	0	0	1	0	2	Visual Testing, Model based testing	broken locators	Pesto			execution time	found page objects and locators		Internal, External	3	choice of parameters, author bias, choice of test applications 	not discussed	Model based		Both server and client, DOM	both	both	PHP Password Manager, Claroline, PHP Address Book, Meeting Room Booking System	1	Web Testing; DOM-based Testing; Visual Testing; Test Automation; Selenium WebDriver; Sikuli		Generate visual tests from models	leottaEstoAutomatedMigration2018	0
35	IEEE	Automated Model-Based Test Case Generation for Web User Interfaces (WUI) From Interaction Flow Modeling Language (IFML) Models	2019	Article	Yousaf, NAZISH;  Azam FAROOQUE; Butt, WASI HAIDER ; Anwar, MUHAMMAD WASEEM ; Rashid, MUHAMMAD 	IEEE ACCESS	Yousaf19	1	0.5	0.5	2	0	0	0	0	1	Model based testing	Navigation/Functionality	MBUITC			_	number of generated tests	_	Internal	1	implementation of method	not discussed	Model based		Server side	both	both	Online Auction, Library	0	Formal verification, IFML, MBT, model-based testing, UI, web applications, WUI		How to generate test cases	yousafAutomatedModelBasedTest2019	0
36	IEEE	Metamorphic Testing for Software Quality Assessment: A Study of Search Engines	2016	Article	Zhou, Zhi Quan ; Xiang, Shaowen ; Chen, Tsong Yueh	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING	Zhou16	1	1	1	3	0	0	0	0	2	Metamorphoc testing	search engine quality				_	number of test case pairs		Internal 	5	unpredictability of internet results, approximate results of search engines, 	not discussed	Other		Both server and client, DOM	both	both	Google, Bing	0	Software quality, verification, validation, quality assessment, oracle problem, lack of system specification, metamorphic testing, user-oriented testing, search engine		How to test search engines	zhouMetamorphicTestingSoftware2016	1
37	WebOfScience	Performance Comparison of Multi-objective Algorithms for Test Case Prioritization During Web Application Testing	2019	Article	Khanna, Munish; Chaudhary, Achint; Toofani, Abhishek; Pawar, Anil	ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING	Khanna19	0.5	0.5	0.5	1.5	0	0	0	0	1	General web testing	_				execution time	smallest iteration for cost		_	0	_	not discussed	Test Case Priorization		Both server and client, DOM	both	both	-  	0	Multi-objective optimization, NSGA-II, NSABC, Dynamic programming, Test case prioritization, Search-based software engineering		Which tests to run first?	khannaPerformanceComparisonMultiobjective2019	0
38	WebOfScience	"MODEL-BASED RICH INTERNET APPLICATIONS CRAWLING: ""MENU"" AND ""PROBABILITY"" MODELS"	2014	Article	Choudhary, Suryakant; Dincturk, Emre; Mirtaheri, Seyed; v Bochmann, Gregor; Jourdan, Guy-Vincent; Onut, Iosif Viorel	JOURNAL OF WEB ENGINEERING	Choudhary14	1	1	0	2	0	0	0	0	2	Model based testing	Navigation/Functionality				execution time	execution time	_	_	0	_	not discussed	Model based		Both server and client, DOM	both	both	Bebop,Elfinder,FileTree,PeriodicTable,ClipMarks,DynaTable	1	Crawling, RIAs, AJAX, Modelling		How to crawl more efficient	choudharyModelBasedRichInterneta	0
39	ACM	WebRR: self-replay enhanced robust record/replay for web application testing	2020	Conf	Long, Zhenyue; Wu, Guoquan; Chen, Xiaojiang; Chen, Wei; Wei, Jun	ESEC/FSE '20: 28th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Long20	1	1	0	2	0	0	1	1	2	DOM	broken locators	WebRR			execution time	broken tests, fixed tests		_	0	_	not discussed	Regression	Selenium IDE, Vista	client side, DOM	both	both	eSMM, PAM, ePMS (Industrial)	0	Web application, record-and-replay, end-to-end test		Existing tests don’t longer match the SUT	longWebRRSelfreplayEnhanced2020	1
40	ACM	Web Application Testing: Using Tree Kernels to Detect Near-duplicate States in Automated Model Inference	2021	Conf	Corazza,Anna; Di Martino, Sergio; Peron, Adriano; Starace, Luigi 	ESEM '21: ACM / IEEE International Symposium on Empirical Software Engineering and Measurement	Corazza21	1	0.5	1	2.5	0	0	1	0	1	DOM	duplicate states	_			_	percentage correct classification		Internal, External	2	Choice of test applications, manual classification		Duplicate states	Distance scores	DOM and server	both	both	Addressbook,PetClinic,Claroline,Dimeshift,PageKit,Phoenix,PPMA,MRBS,MantisBT	1	Near-duplicate detection, Model inference, Web Application Testing, Tree kernels, Reverse engineering, Model-based testing		How to crawl more efficiently?	corazzaWebApplicationTesting2021	0
41	ACM	Semantic Test Repair for Web Applications	2023	Conf	Qi, Xiaofang; Qian, Xiang; Li, Yanhui 	ESEC/FSE '23: 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Qi23	1	1	1	3	0	0	1	0	1	DOM	broken locators	Semter	https://github.com/Reoke/SEMTER		execution time	fixed tests	 	Internal, External	2	Choice of test applications, implementation	not discussed	Regression	Water, Vista, WebEVO	client side, DOM	both	both	AddressBook,Claroline,Collabtive,PWMA,MantisBT,MRBS	1	Web Testing, Test Repair, GUI Testing, Semantic Similarity		Existing tests don’t longer match the SUT	qiSemanticTestRepair2023	0
42	ACM	Virtual DOM coverage for effective testing of dynamic web applications	2014	Conf	Zou, Yunxiao; Chen, Zhenyu ; Zheng, Yunhui; Zhang, Xiangyu ; Gao, Zebao 	ISSTA '14: International Symposium on Software Testing and Analysis	Zou14	1	1	0	2	0	0	1	0	1	DOM	Functional	_			runtime	Size of model, DOM coverage	 	_	0	_	not discussed	Model based	Crawljax	client side, DOM	both	both	aphpkb,faqforge,newspro,schoolmate,timeclock	1	Dynamic Web, PHP, Coverage Criteria, Virtual DOM		How to generate test cases and test models?	zouVirtualDOMCoverage2014	0
